RecommendationID,Gender,BodyType,SkinTone,AestheticID,OccasionID,Topwear,Bottomwear,Footwear,Accessory,CreatedAt
1,Male,Rectangle,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
2,Male,Rectangle,Fair,3,1,T-shirt (White) + Oversized Jacket (Black),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
3,Male,Rectangle,Fair,1,1,T-shirt (Beige) + Casual Blazer (Light Blue),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Silver Chain Necklace (Silver),2025-05-21 13:57:56
4,Male,Triangle,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
5,Male,Triangle,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
6,Male,Triangle,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
7,Male,Regular,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
8,Male,Regular,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
9,Male,Regular,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
10,Male,Regular,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
11,Male,Regular,Fair,3,1,Graphic Tee (White),Fitted Denim (Dark Blue),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
12,Male,Regular,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
13,Male,Inverted Triangle,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
14,Male,Inverted Triangle,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
15,Male,Inverted Triangle,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Rose Gold Watch (Rose Gold),2025-05-21 13:57:56
16,Male,Oval,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
17,Male,Oval,Fair,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
18,Male,Oval,Fair,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),Watch ,2025-05-21 13:57:56
19,Male,Rectangle,Brown,2,1,T-shirt (Black) + Tuxedo Jacket (Black),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),No Match,2025-05-21 13:57:56
20,Male,Rectangle,Brown,3,1,T-shirt (White) + Oversized Jacket (Black),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
21,Male,Rectangle,Brown,1,1,T-shirt (White) + Casual Blazer (Light Blue),Linen Pants (White),Sneakers (White),Black & Brown Sunglasses (Black/Brown),2025-05-21 13:57:56
22,Male,Triangle,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
23,Male,Triangle,Brown,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
24,Male,Triangle,Brown,1,1,Satin Shirt (Pastel Pink),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
25,Male,Regular,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
26,Male,Regular,Brown,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
27,Male,Regular,Brown,1,1,Satin Shirt (Pastel Pink),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
28,Male,Regular,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
29,Male,Regular,Brown,3,1,Graphic Tee (White),Fitted Denim (Dark Blue),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
30,Male,Regular,Brown,1,1,Satin Shirt (Pastel Pink),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
31,Male,Inverted Triangle,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
32,Male,Inverted Triangle,Brown,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
33,Male,Inverted Triangle,Brown,1,1,Satin Shirt (Pastel Pink),Wide-Leg Jeans (Light Blue),Sneakers (White),Watch ,2025-05-21 13:57:56
34,Male,Oval,Brown,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
35,Male,Oval,Brown,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),No Match,2025-05-21 13:57:56
36,Male,Oval,Brown,1,1,Satin Shirt (Pastel Pink),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
37,Male,Rectangle,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
38,Male,Rectangle,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
39,Male,Rectangle,Dark,1,1,T-shirt (White) + Casual Blazer (Light Blue),Linen Pants (White),Sneakers (White),Black Buckle Belt (Black),2025-05-21 13:57:56
40,Male,Triangle,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
41,Male,Triangle,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
42,Male,Triangle,Dark,1,1,Oversized Striped Shirt (White & Stripes),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
43,Male,Regular,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
44,Male,Regular,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
45,Male,Regular,Dark,1,1,Oversized Striped Shirt (White & Stripes),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
46,Male,Regular,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
47,Male,Regular,Dark,3,1,Graphic Tee (White),Fitted Denim (Dark Blue),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
48,Male,Regular,Dark,1,1,Oversized Striped Shirt (White & Stripes),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
49,Male,Inverted Triangle,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
50,Male,Inverted Triangle,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
51,Male,Inverted Triangle,Dark,1,1,Oversized Striped Shirt (White & Stripes),Wide-Leg Jeans (White),Sneakers (White),Watch ,2025-05-21 13:57:56
52,Male,Oval,Dark,2,1,Spread Collar Dress Shirt (White),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
53,Male,Oval,Dark,3,1,Graphic Tee (White),Distressed Jeans (Black),Chunky Sneakers (White),White Cap (White),2025-05-21 13:57:56
54,Male,Oval,Dark,1,1,Oversized Striped Shirt (White & Stripes),Linen Pants (White),Sneakers (White),Watch ,2025-05-21 13:57:56
55,Male,Rectangle,Fair,2,1,French Cuff Shirt (Ivory),Tuxedo Trousers (Black),Patent Leather Oxfords (Black),Watch ,2025-05-21 13:57:56
56,Male,Rectangle,Fair,3,1,T-shirt (White) + Oversized Jacket (Black),Distressed Jeans (Black),Chunky Sneakers (White),Black Cap (Black),2025-05-21 13:57:56
57,Male,Rectangle,Fair,1,1,T-shirt (Beige) + Casual Blazer (Light Blue),Wide-Leg Jeans (Light Blue),Oxfords (Light Brown),White Pocket Square (White),2025-05-21 13:57:56
